Date,S-1 FO,S-1 FR,R-33 FR,S-32 FR,Year
1982-11-08,0.0503035714285714,2.294367346938777,2.215168367346942,0.0549247448979592,1982
1982-11-15,0.163265306122449,9.754839285714306,9.559704081632663,0.1951352040816329,1982
1982-11-22,0.0506045918367345,3.6058022959183647,3.537408163265302,0.0667971938775509,1982
1982-11-29,0.0030956632653061,0.4604005102040817,0.4542984693877552,0.0046926020408163,1982
1982-12-06,0.0255497448979592,0.9884783163265316,0.9589948979591842,0.0271823979591837,1982
1982-12-27,0.0261007653061224,4.280519132653061,4.247584183673468,0.0343086734693876,1982
1983-01-03,0.0,1.206423469387755,1.206423469387755,0.0,1983
1983-01-10,0.0,0.6709043367346942,0.6667831632653064,0.0,1983
1983-01-17,0.1703571428571429,7.300852040816329,7.117978316326536,0.1858801020408164,1983
1983-01-24,0.2710204081632658,18.170383928571464,17.824155612244937,0.345781887755103,1983
